"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-C.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-B.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BI.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CS.raw.dia"
"Tb927.11.3280:mRNA-p1"	40550362.7894533	40143833.5893312	39525453.6863402	39969100.3357589	42325193.6071524	41694177.6444242	47554397.4689723	18263492.5439724	17399944.9545647	18863424.1363125	7244526.54962683	6530500.33919999	5112260.94750727	4161255.85256589	50475280.4321148	49657009.3096027	48729610.5033381	47978895.3056917	19217244.2063331	18149769.8355802	18323778.9670824	18442956.8552378	17842940.7343607	16457881.2024978	47304145.191293	6421453.42300652	4017735.68249293	2708787.08578238	2814350.76878917	1815710.83960825	2300168.00050818	2153796.14839333	3403270.75493184
"Tb11.v5.0272.1-p1;Tb927.10.6340:mRNA-p1"	4710299.63070183	4816845.65497043	4445224.96055889	5148102.11002336	4502885.66227846	4408550.51359492	4849683.51486165	1693214.20270508	1907417.76117025	2442789.85810859	NA	NA	728843.931435174	NA	5141201.50073969	4978040.75324206	5407644.64238872	5116730.95387639	2037549.89879163	2191652.54527805	1962715.68068154	1466672.0106515	2194936.98054615	2283375.96677522	5020894.04227572	NA	NA	1198895.71980012	554169.731686675	507843.147437547	185062.14522566	NA	546133.760312943
"Tb927.11.7840:mRNA-p1"	1890952.92243469	1533315.79965377	1841303.81392096	1663186.81694406	1720879.87964628	1532778.87191538	1654337.30130203	44098309.1401621	44137025.6155036	46313652.5100603	45407884.392585	43748359.4179738	45121081.1089561	43982650.0334179	1560440.62249077	1772355.13583027	2034941.92833225	1941544.87399687	43756040.1775343	43369040.3700025	44932436.676691	44759681.76554	46216300.9890599	43779146.6694233	2071321.70743868	44029838.8700748	44373323.0226936	41504712.1575989	43349856.5627573	41552361.3842841	42076167.4763004	41520696.9660163	42176339.8243533
"Tb927.1.690:mRNA-p1"	8202755.34468876	8472070.71930148	8071545.13354243	8745014.53557498	8173116.59879225	8440310.48016937	9692838.77474098	3904256.2609684	3751352.54713977	4240807.44150247	NA	1936727.31875065	NA	NA	9147560.61217505	9198743.14156203	9534764.25355081	9213319.04267768	4004317.90857031	4028268.78290076	3878765.42502732	3733282.74043436	4104306.67071365	4735614.3732595	9960689.55440762	NA	NA	NA	NA	NA	NA	1174636.47727366	NA
"Tb927.10.3290:mRNA-p1"	26682455.9422304	29666503.0711692	28584570.4979556	28235474.8211832	20649126.2580259	25045937.1425366	7624688.95545645	15551745.9945056	15137886.6053787	10336003.4533447	NA	2425711.13700507	NA	NA	11707773.6723974	10723614.2813315	9352750.26595093	9928416.85988148	12269938.0620551	12094994.209789	15755172.9447481	13251416.0501664	12771516.7239738	15340196.1039575	8733005.51211162	2606784.56560394	NA	2583109.32634442	5039081.03132132	NA	NA	NA	9992910.23919273
"Tb927.10.14770:mRNA-p1"	41030853.1102853	41028465.5964921	40390955.8572731	40873188.1533847	42172124.3440718	40046037.8430607	46927098.9960637	21022380.9264288	21182036.9976168	22349718.2813491	6706590.51809455	6115330.74918968	5517418.50482032	4519828.32494557	49570114.5120549	47286208.8044704	48247118.3719886	49677541.4716014	21275526.6375815	21319305.9968857	21409266.0848163	21167510.5987748	21878603.1978257	22289653.5279847	47657047.0868854	5534124.50732148	4772191.12166928	2338501.5576764	1946066.67917238	1303293.3419113	1520815.38128743	1688988.95992516	2105231.3246047
"Tb927.10.4800:mRNA-p1"	35401271.2271869	34185480.126072	32210691.4858612	31928867.0589005	32096500.9356019	29459968.659655	33020997.8461302	18410326.7691697	19228325.7914883	18221570.4987364	3957442.47887903	3695264.79720888	3114141.57129723	NA	37548147.8359895	38071132.3096519	38319886.7615251	33798680.5057765	17171672.9267089	16595633.7662702	19493625.0016792	17388175.1620869	20587467.8530403	12951136.6129695	33726626.2046566	4950838.75193784	NA	NA	NA	NA	NA	NA	1840983.85992666
"Tb927.10.13430:mRNA-p1"	1498173.35194324	698002.097861551	935297.006381562	NA	NA	NA	NA	1900156.58489347	2085392.94188234	1980937.99861555	2614028.86097083	2685235.01239633	2049601.30929959	2133484.96060165	1362534.03610075	1510480.45161766	1395724.6973111	730093.678931474	1941046.35238129	2016967.35602502	2020528.4142993	1998049.06061005	1698561.31958741	1613476.80267858	546110.868852468	2808670.00756836	1868024.14721354	3325051.62710642	3268718.55944106	1721526.02558666	2049084.71770928	1918463.14396972	3502057.52569856
"Tb927.11.1090:mRNA-p1"	568030774.435184	508242337.334867	551556678.552579	544890713.561064	528385525.09675	543447819.026243	584466532.119239	415507988.281295	412809587.075153	440042413.796296	143311323.698417	134517151.255643	134487612.178953	102694216.185215	629499560.34955	622463905.002682	600710052.876758	587262954.138655	423551644.941408	417680469.687954	410866758.553619	408650810.614	429361040.096772	420621071.7307	601822492.466733	117796497.313082	112571595.37631	106979664.318842	111298858.942601	116439562.433439	127547407.429423	124646525.279997	116721546.743301
"Tb927.7.2100:mRNA-p1"	866830.804617143	NA	4160437.45482343	NA	NA	NA	1189480.58299544	19750820.2533487	20732604.6195955	17819372.4855597	20557937.804637	20472394.0017154	18661348.2699339	17607928.7917315	1275659.34588924	NA	976040.406319683	699314.529168233	18765577.7535675	21210980.3780976	20040450.70252	19298681.1531117	17606500.4722097	20016631.7781112	614763.67860153	19187412.2457313	18656582.8962542	20160498.0655743	21282427.8127666	19680368.7865386	19926421.9855516	19779187.2116606	20109820.2483938
"Tb927.6.5120:mRNA-p1;Tb927.6.5130:mRNA-p1"	191253049.123851	199758565.009301	224382511.59936	214486144.566086	231115878.268259	182590548.769586	219321207.399312	56352709.8486856	64207786.1716574	73667235.8916989	72202694.6260519	77797998.0422194	76230240.4652909	84733216.0158899	164252360.564765	165416190.83528	167103307.333181	222175934.450747	49899633.3288119	52781395.5598124	54112909.3260739	48787269.1558053	122438149.241021	66531089.815606	218130325.599583	61710014.4840342	83196282.0657225	82180007.127416	63507245.3079717	108263513.024991	105573628.124426	102650293.896926	72729561.9577802
"Tb927.10.5520:mRNA-p1"	1433357.19382977	1264487.3098977	1301138.70115927	1324079.93683884	1213784.40793608	1296566.27187855	1229232.95337764	34522865.015623	33395661.1447588	27023093.0155126	28048530.1207178	28294475.0461643	24824739.70097	25428851.2315346	1096662.42704605	1034510.35368288	1414274.14850059	1418415.63677733	32224396.3158561	31538149.9570885	32231822.0379194	33335141.0688598	26596912.1783222	29716039.0422851	1232216.75084309	29192911.1825812	23944992.01606	26053720.0480223	26830316.1287023	25879808.2716675	25294060.2389802	23923139.7217273	27462120.3454048
"Tb927.8.2620:mRNA-p1"	17755032.2820117	16582869.952638	17557793.1678933	17916724.1746094	17399495.2976603	17927780.1209274	18843241.2188774	8051033.59512583	7872581.91881237	8392364.31020024	1453043.52479076	1348560.08327401	1434985.07930585	982216.606090452	19099467.7031266	18331613.3072827	18908938.2888314	19448786.3035049	7918184.52509048	7483608.14147689	8095361.43657868	7412597.74706793	8394596.41476434	8712864.13070574	19166513.3075123	1210930.0094949	1290797.43972088	996198.335868568	943931.946266342	778114.75632459	1170276.96391983	1133952.88394026	1134544.0228269
"Tb927.4.5040:mRNA-p1"	663963.904740673	574001.69483007	820994.300638356	290116.526815105	NA	NA	425991.152709943	3461162.79120576	3525927.87195877	3999900.12743624	5115534.17662057	4858913.49635103	4626019.97743577	4155568.57739518	1010102.17984157	1003104.26076074	910121.109288658	397131.677910058	3624047.71434116	3620825.23609276	3739171.71130674	3663746.03559515	3883536.88471011	3830126.40190073	291218.924721846	4948373.05022974	4298510.33883278	4585434.86126763	4776345.21345943	3579199.39351324	3882932.67169291	4044668.2416207	4770164.89702818
"Tb927.4.2000:mRNA-p1"	11413787.5410607	11233560.901835	10813088.3937411	13054538.8670883	12354614.1267114	12222294.6363177	12432505.6734369	64486047.9872814	62147833.8362289	65718672.7615444	57792080.0303684	58870176.2732665	65078913.1951198	61640320.5745831	10248913.094605	9573998.56751581	10119030.151469	12437434.1831348	62217068.4398023	62154347.814535	63016509.7864071	62178150.6381736	63780399.9119648	65190398.9355115	13555265.5279042	56406500.4299322	62917860.8639147	53774010.6979809	53369846.8165761	63173099.9773482	57048965.0331363	59004296.6592303	53233349.2620194
"Tb927.1.3280:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	2641475.26936142	2594826.21568878	2435997.5260047	2635586.8304591	2706819.31765817	2432757.9498107	2530711.82944294	NA	NA	NA	NA	2365695.74837637	2488835.90918107	2683268.46481206	2383861.19500565	2595539.69320106	2363834.20386257	NA	2671436.30546718	2525249.52619392	2685416.29891757	2708080.51798265	2299635.28817128	2834142.88649574	2977063.47010067	2894153.2730441
"Tb927.9.3630:mRNA-p1"	NA	1298634.40152295	766097.450763171	NA	NA	NA	577197.328256798	11825044.4141306	9867991.05368051	11901156.2174355	12975965.5532044	13040860.3489239	13818248.2170883	15234435.7419529	554188.490993265	499622.888231997	1063867.18608593	1055105.84810839	11309281.5330205	11148434.0585426	10112668.9906731	11462584.0375125	12902253.5823354	13305236.8639923	470976.572475879	13370679.7536894	13689889.5188535	13019691.0623667	12385065.2714115	13660279.9633592	13417832.3970834	13462049.3133108	13401103.2025329
"Tb927.5.1090:mRNA-p1"	4838076.20557808	3706685.67469016	4243796.71079648	2414330.69366586	2197584.32834012	2952392.66667916	2309220.95632284	113716687.694316	112938798.94526	70901707.4827381	121675580.629464	119052992.07686	75648058.2675891	72356319.1605116	4371646.21385734	4084077.12714409	5021022.18216648	2576880.99669181	108066595.807318	110266160.95488	111654858.022944	113055533.359328	74799162.9439879	72522367.9839832	2652889.85667027	113539198.77977	72926902.5170097	114619395.413751	115988940.61949	78945694.3928401	76646673.3364277	77595778.7373967	114832899.890966
"Tb927.5.2900:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	9338475.53585304	8970447.72691634	6198842.17697188	12373201.2122118	12279943.71592	9427041.0392414	9274319.02444855	NA	809615.666909644	NA	NA	8693602.13665175	8349617.92875811	9003949.41614668	8797294.68229964	7103971.87322075	6051804.43854104	NA	12230880.3814773	9187296.18700963	12519307.4338982	12390780.6173606	10531865.9243144	10581292.3187568	10861547.6323552	12564622.015027
"Tb927.10.14930:mRNA-p1"	8036883.22946723	8527527.41075192	8110494.21515489	8698905.93881592	9434521.17669962	8836645.04070628	8570855.93548549	8614610.52988289	8678000.49921214	10321747.4495062	7514064.81316985	7855085.76785641	8193220.57248451	7330825.76865225	7930845.29509049	6759407.32841157	7321767.41089549	8098805.54207285	8046548.73648105	8465137.96875875	8722034.61979212	9387327.37022849	11515339.5983106	10997298.2140286	7777499.20165138	7573198.11537166	8026215.2759798	8836442.83938683	8388362.14373571	9304709.59158557	9386102.44281855	9907502.51749129	8658996.49900418
"Tb927.5.2690:mRNA-p1"	2480584.79943448	1757441.00162138	2256558.45333582	1638752.81959499	1374597.08772935	1684245.27855014	1954999.86711645	6429186.62567566	9482134.82460751	5906692.61585648	12128190.8141494	11106309.587591	7907875.83226383	7081731.66575909	1828673.1712839	1787660.33898135	1819294.8035698	1900539.09171721	7391516.36126652	6710613.88206471	9160238.68531569	10120499.8953311	5718385.09035022	5043245.04814763	1940455.00168726	9652247.29454632	7356691.80994286	12481520.680904	12559358.0459843	8678631.27087999	8176622.58988904	7382485.4866838	11627119.1072612
"Tb927.5.2330:mRNA-p1"	991217.547860496	1097858.84749563	1027740.28348173	NA	NA	601449.142440288	700003.567519043	3867108.98594762	3992891.01243724	3389282.44806493	4709133.12650459	4201401.79885171	3575733.67711608	2533127.82652315	862912.796229096	835435.698654955	830926.995599374	663571.027614709	4019660.98333597	4238604.12955797	3762866.29819875	3942747.09192155	2973558.09681288	3070120.56249084	702153.476959623	3956256.14885908	3073282.14709466	4082706.72851862	3722870.80637731	3045808.38168908	3041382.71983079	2875364.74617068	3986916.06058913
"Tb927.8.630:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	NA	1087222.54534268	NA	NA	NA	NA	NA	NA	NA	NA	NA	826245.148487655	596901.075729799	NA	534780.38265088	613885.742247845	464439.929640778	NA	NA	NA	NA	NA	NA	715352.280725027	NA	NA
"Tb927.2.2260:mRNA-p1"	2097090.45310431	2021710.7357029	1920858.45409885	1413980.96080799	1633770.88224454	1043418.01222299	1382032.26365416	5043666.42124153	4702194.93313565	4546001.83302456	4816614.23358406	4767228.18651325	4802653.75996204	4447671.86357564	1724814.5858878	1714592.19196141	1628653.51884216	1392895.26119534	4847106.38125279	4892803.91874893	4649494.27491011	4644447.56790063	4488618.84435585	4263021.25176092	1623885.13173668	4255247.43208178	4210740.43470727	4219685.54543436	4527194.24825458	4095539.42303041	4446508.15346269	4247899.03060757	4438556.54879541
"Tb11.v5.0631.1-p1;Tb927.10.960:mRNA-p1"	2025962.34601266	1601161.05078737	1702148.65793017	1228643.39373747	1455277.79118437	1129369.03274393	1048648.95836253	9732812.28848722	10038000.8047925	10664961.0948897	9972697.20347073	9729993.02287368	9531403.57461054	8476656.15186499	1687272.40835659	1548717.4446622	1847447.63216949	1084174.27908294	10222732.5328359	9936041.70452511	9917706.91757551	9623606.6974092	9949657.06966115	10660385.0312007	1137433.58517188	8906939.7651813	8946666.58864071	9985067.91757265	10543053.2188875	8683070.35854767	9938432.55995885	11105166.6634609	9736547.79116802
"Tb927.10.1170:mRNA-p1"	29921226.6436535	27223010.0698891	29569437.0959133	31442551.0200149	28096996.9061288	26970862.7464292	26359762.9933954	140024258.982337	139073208.834942	142065755.540479	138219938.37544	129156723.61297	125692272.328583	111254402.052383	32249886.6528627	35092862.1674968	32376453.0315045	25253867.2172634	137751631.018087	138652468.819301	141618259.822079	143524773.816503	138675357.718009	134696626.773478	25741309.2564807	120765065.585382	114756476.069697	129046672.166634	130220936.364247	126209480.241429	130034496.215166	134801611.091598	130268925.793224
"Tb11.v5.0165.1-p1;Tb927.7.4830:mRNA-p1"	661778.575030726	828991.129001558	NA	971088.738273935	NA	972851.827250446	1262431.36519596	1048783.25466297	957212.183153877	NA	NA	NA	NA	NA	1099789.22789809	1004267.4173108	1112659.04599843	1027357.48018313	NA	NA	966222.530611496	872906.523480641	NA	969943.633669892	1201871.62466175	431896.010718284	500340.993176963	694856.73201708	649067.459294649	888068.448473802	780215.667647163	600244.448692685	547880.60569072
"Tb927.8.690:mRNA-p1"	808263.501195679	552574.913389059	800989.999990176	1064587.73756372	853927.467391635	732213.404428059	776341.999990476	23640226.4255962	26283346.9999549	28537709.8843658	30798489.2782115	32802869.6893202	30669066.6578323	31441954.4115743	550505.905277652	486744.545719233	723824.99999112	1119651.37001218	22253804.0193647	23771864.5338497	25133859.1231366	22734018.2839566	33146906.9283908	32973762.1917765	855323.999989504	34314936.4101574	28355576.2636491	28928725.7783152	30805162.780823	37171147.6534853	40785489.935455	40183537.4701019	31227448.2316755
"Tb927.7.7290:mRNA-p1"	687839.874045102	NA	NA	NA	NA	NA	NA	2404586.66786548	2447291.84398365	2305494.99742368	2485470.52657578	2561413.71586151	2361726.12920158	2253413.02525199	394434.17547933	400058.565933455	298825.875567214	275485.947307608	2395685.56568371	2370941.57553745	2413779.61426614	2366885.0407522	2133847.01528671	2247160.48676621	NA	2615582.20286531	2318776.46835957	2246676.85819345	2418451.51654777	2203730.52419426	2176895.74050119	2248012.07319623	2140028.52808667
"Tb927.6.1760:mRNA-p1"	320793.154094177	NA	NA	225352.5440536	186366.425540037	226446.887720421	302684.825755859	838172.410360167	768759.849483076	814759.286332634	631222.40375368	600291.134568448	957537.668625574	668151.475623792	305299.81561782	240809.772198146	301232.38796525	312637.23442881	744524.068580899	874848.286935521	805653.899100406	789916.145126748	747126.93439246	831583.553363088	338217.553199503	565717.497989203	762720.42237705	378108.262289396	343097.302375948	655264.099426451	635967.139332693	611209.494617335	374839.287102367
"Tb927.8.1910:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	1809664.09623282	1745534.50628558	1987814.60795991	1848640.97593387	2149685.23530634	2034135.4082053	1907016.2418853	325013.877938131	472285.581273969	NA	NA	1949667.10010245	1756211.00101385	1590244.63681013	2007583.38074102	1866186.39020077	2028819.59871688	NA	1756565.77212902	1843549.80748616	1614864.59641467	1861431.98927393	2039460.77782631	2223818.12344486	2061363.82930598	1718991.04330329
"Tb927.3.3180:mRNA-p1"	59515054.1099758	59748608.3859256	59200138.6522113	61127364.3220448	56830005.1655714	64679470.1809258	56678352.0049173	12750354.7473338	14920103.3113022	14893511.5707912	5595592.50225348	6200365.4721532	5237452.71049636	5546822.87836333	61846967.1334149	58183841.1302567	61162169.9660755	57020936.1503001	12503061.6970444	10586244.9498967	13922346.6607634	9964199.66531784	14840452.3106927	11200531.1696314	61690126.1301735	5536336.28048936	5286482.3038842	4830757.62637671	4877231.34750381	4502325.18799043	4612706.55139824	4425395.55791351	4943740.59624945
"Tb927.3.1080:mRNA-p1"	24358358.3508698	25177935.2180237	24062607.2968458	19674887.0973494	18946835.6042745	18594487.0373669	18287549.8814956	14134000.9056437	14099799.2291026	11210975.9940831	3049223.08119412	3986746.62539214	3392280.23832727	3814202.69797533	22588510.863166	16506733.5962818	19589100.0909075	18215973.471097	13961508.8365083	14117174.1541272	14405913.2416474	14521307.9143932	12012527.3334125	13070598.0106784	18388297.8701696	4097690.38763028	3099071.08856123	4968050.13690346	5982910.92711159	4536282.74318108	4718237.36565426	4202916.50906279	6085137.96124555
"Tb927.11.4510:mRNA-p1"	1877181.72978291	1616071.89150857	1833983.24609731	2247816.80697287	1889081.21527131	2066647.54009121	2656954.63948615	2747590.83228563	2647965.38379915	2319362.31481295	2380256.86786483	2164238.54579213	2384541.08889526	1895500.70562594	1858988.94245517	1923654.50185472	1783859.57603316	2484541.09365771	2706729.29498746	2795826.39904912	2313515.07415797	2461326.81553245	2029781.38244901	2165434.78084927	2869518.57546762	1740885.9513652	2021803.47790907	1205215.05783439	1129794.33351698	1195095.40535325	1500983.90688155	1454241.53371483	1399369.67365222
"Tb927.10.14350:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	410153.989420855	193229.787492624	NA	NA	NA	NA	NA	NA	NA	590293.93784193	445010.721118764	NA	278344.19288316	1029949.69143769	1092831.48190848	NA	NA	NA	NA	402303.729372082	207234.735348861	365031.411180361	318667.659555643	NA
"Tb927.8.4170:mRNA-p1"	7291371.01903787	7188554.17549204	7023998.46018216	7164880.2829	7562169.40606165	7275429.49146642	6283348.55252738	6781316.03812083	6354450.96180187	5862800.22201406	2507181.99453737	2569742.75333047	4537000.17371217	2480205.15558136	5486472.32125738	5194117.12082034	5089112.59322033	6463856.75263953	6506967.30995697	6317329.92776778	6725174.78538445	5899364.85240761	5171365.40030058	5064205.65233661	6494306.00528503	1566701.73859668	2702255.99787823	2275063.69641561	2146374.13605076	2076357.65013307	3344186.66323544	3327365.33082515	2436710.64797211
"Tb927.11.6350:mRNA-p1"	11209108.4412973	11067595.9635677	10863861.6537619	11554029.0592554	11445137.433574	11637091.7113161	10239595.5330038	6314932.30305224	6046664.30088801	6045973.04184355	2792778.27218458	1632724.32505993	NA	NA	10355766.1152531	10157007.2991679	10400955.7458743	10264871.0441721	6116442.14340335	6370124.85885024	6041291.6420382	5875814.30192588	5874887.18975575	6295436.59065446	10838851.5538265	1378605.3483052	NA	NA	NA	NA	NA	NA	NA
"Tb927.10.1990:mRNA-p1"	1239592.08288245	1103043.71255591	1211463.14638481	1160805.6782055	1062711.71635894	1018183.01133636	988364.163170064	15611693.0107514	15576698.646069	16317863.2288293	18727691.3308603	17110398.3227469	19981324.6305646	18089249.721049	1281899.07284567	1412900.1882916	1464824.6244609	1131543.69100325	13909336.7931016	14383787.4892529	14940515.1211928	15347196.0415507	16899716.3838777	17230324.7055556	1127077.22029491	16733925.3701698	17806417.2826318	16820522.2958449	16811013.1898531	19252005.1769319	19414178.9433985	20521916.8862821	17064047.6269183
"Tb927.7.3040:mRNA-p1"	3013142.92274117	2835078.69497361	3280557.61977415	3082547.48883335	2873110.39493665	3021210.83056583	3220837.10783069	20552551.5335261	20437125.0163848	19458264.5989517	20802590.6687034	20250766.731563	21094772.3330032	18739574.896863	2744829.27773158	2569635.87227905	2632393.39423359	2974407.05988252	19654285.8179637	20188716.3823249	20573704.4395282	19553682.4663583	19340292.05571	20458610.9445123	3000205.79968796	18193256.6451583	20049197.1497015	19750901.6502697	18989326.6302051	20367991.7313426	21207191.8719476	21938471.975293	20179578.885932
"Tb927.9.10470:mRNA-p1"	1166528.17303615	1036582.85975382	1266648.89882036	714971.067998921	519640.354216998	465050.469588575	780056.196362669	6196984.8903009	6260378.5593448	5839418.32483921	5180250.0553252	5729263.49356007	6172700.51094099	8020546.15632489	1269495.43699445	1222154.96054632	1173648.75439925	762341.685725755	6206300.55790458	6194349.47033429	6586005.1719791	6368791.56478185	5940000.14869565	6123246.29026897	765161.17894194	6315186.64126787	7458909.866153	4921149.23175947	4765666.31846212	6265546.5995977	5659982.89890476	5451694.04978964	4804023.37318985
"Tb927.10.10680:mRNA-p1"	NA	NA	NA	NA	115981.624263323	NA	NA	133993.470929264	102476.366714574	135751.04198509	114181.941473807	180642.792125579	110243.443819046	146358.570360209	102810.155063898	NA	127791.255231848	NA	124364.520896828	NA	NA	196082.649887767	227172.927680094	242872.379853553	93229.6231095151	NA	94880.516300129	173765.615072341	185799.66163423	186116.096948294	160002.015772853	151141.27007356	136627.797371657
"Tb927.10.3790:mRNA-p1"	34615237.6270813	37550537.2480298	33247848.8940509	39903384.1362857	39263658.3104256	39567715.4716715	30206123.9543898	22438568.0578195	19781739.6060997	20248756.7334792	4665200.30437798	5369490.87892707	3199094.91734296	8741848.74275832	30273707.7509009	29557662.7972605	29026049.8083868	36228600.8297144	22358906.0599755	22376271.8871839	20306323.3455969	20382908.0186521	20097836.0440758	19253565.7660941	33083432.8112562	6367147.99346447	6793097.58125382	2862690.04011561	2702315.32677757	NA	1410440.83636018	2160319.94841214	2567639.58277229
"Tb927.11.3250:mRNA-p1"	129695720.425544	123862561.741053	121476895.886408	124028922.575026	121955808.110318	118114823.068949	120172297.827847	68877820.6861187	67517666.1894526	68747255.367023	13555379.8244023	13538004.9395805	13662309.8997118	11704380.7876354	131288302.655897	134002002.665327	132261740.899366	123289318.799756	69502650.6662111	67719954.8895497	66878671.586974	70096049.6632055	68363357.7077229	66029501.1389155	123165773.589628	12651253.6323051	12585111.6607554	9934003.84433811	8472582.40957068	9290261.06927181	10314610.2612269	10138908.9093055	8175003.83559379
"Tb927.4.2470:mRNA-p1"	879029.855503068	619960.676360408	1160556.52949031	NA	NA	NA	676807.220030456	6094402.94558068	5573978.51385495	5432592.70827072	4959040.43373926	4825585.64278035	4723438.68285094	4696424.15588172	883637.568529877	859538.93865548	986940.285567205	895563.717095218	5848816.84109896	5952964.76885986	5717798.32912319	5826027.40697194	5113716.33383695	5731619.62767454	793952.231725023	4273209.16399207	4311209.27985393	4189360.93935091	4258002.66827316	5311135.06715957	5657197.10116747	5848815.31495546	4512980.59268628
"Tb927.1.1060:mRNA-p1"	4420463.89894165	NA	NA	NA	NA	NA	NA	3792966.98972607	3767193.5833897	3607295.08929942	3999286.65665121	4275976.07798107	4419375.24598447	4979360.80988282	1227592.86040015	1219266.48349102	NA	NA	3706823.95528448	3622735.59370964	3843119.8885832	3676861.15584216	3675583.13745139	3933282.04141158	NA	4308256.28588203	4411992.78058082	4295491.25109214	4569362.12071393	4781920.13926933	4490423.7754452	4439680.47130765	4658967.64813325
"Tb927.9.4900:mRNA-p1"	9306373.16640697	9167082.0368885	8921336.7520457	8708754.53791713	8588758.53596277	8569973.09728371	7952520.86853892	9809424.33401568	9098524.24603518	8683309.20176917	4309880.52145146	4214988.72732329	4642892.93930646	4561797.15452818	9222537.98633914	9874455.61095664	9011949.09607271	8301141.45081321	9826371.9614419	9695560.24225225	9007869.66276331	9740278.46228332	8846546.97608963	9047416.59843322	8462897.86578782	4332383.08704264	4366912.80173749	3101193.77932187	2889620.85400027	3605853.5018829	3431435.41955708	3633093.02890629	3405788.63703446
"Tb927.10.9650:mRNA-p1"	36753963.9155885	35803903.4986461	37876241.4494001	33616504.6554734	33799201.6374717	33893362.4945079	30063727.6401101	17758859.6905519	17747453.4908282	16568607.7194333	4961534.2759789	4680569.99512828	4297746.10909135	3385691.74810356	34324178.697839	33396029.465381	34469052.9108152	29733300.6084174	17797878.1626146	18347526.1146985	17806041.7225001	19068649.1298894	17203620.0035099	16159932.910622	28325213.0944385	4043592.10389575	3530984.07318928	3191692.39843359	2985301.99516013	2761358.92463393	2861206.82442012	3088118.20700724	3098868.5328303
"Tb927.9.2470:mRNA-p1"	475396865.822815	451579646.498841	436527251.85992	429839975.092431	429753207.319922	426436652.747957	428141521.931318	194869036.794627	200628954.739307	197902117.990706	23014556.2135451	24475902.3620629	18879492.0495123	13657577.1676145	420292246.380456	433144828.020799	455040635.01573	432717195.743984	193440684.753386	199448347.031187	196733491.604941	203823393.44467	200062513.255632	210402210.893869	421673103.807493	24155207.2795722	16200282.5585445	14355171.6538379	12695707.8077187	6988292.30552241	8722824.65773533	8527603.69996176	11715968.3143278
