"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-C.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-B.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BI.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CS.raw.dia"
"Tb927.5.2510:mRNA-p1"	860031.883359838	735958.770189117	647642.003567591	NA	NA	NA	NA	2705625.15528369	2612696.55410284	2150500.98708032	2356014.86822783	2540039.11605801	1985526.40443212	1205589.59894523	1176388.80030157	1121582.76280211	1101973.97285666	364895.853219311	2761214.66830929	2862796.18797341	2804523.93136257	2726113.53332005	1779872.61157999	1877604.06772574	593970.653448038	2784894.59727104	1661946.41625117	2476336.98940996	2477367.02385016	1602296.93546065	1742893.22333676	1609727.85685702	2233413.61310635
"Tb927.4.3380:mRNA-p1"	3136854.92709852	3120819.64664388	2819763.95300372	2791071.86926774	2833504.46945283	2937064.05237817	4639983.69540831	8110580.51510721	8067473.81069133	8277014.45981559	6901022.34229008	6981751.98841568	6540895.47268288	7142430.98362113	4840398.89006706	4643598.93244292	4966750.98360386	4620913.32042122	8010260.36526668	8222226.25724591	7788892.93454956	7731666.00665173	8027563.78354613	8241261.30369139	4767489.5108028	6942882.16861016	6652639.67452463	5335888.6710215	5551299.87434001	5564286.50975531	5840683.31085878	5928674.88458461	5468146.88981273
"Tb927.11.14260:mRNA-p1"	518354.405038023	2825401.99667077	NA	670963.07521425	1568303.02410689	759586.019619028	1430793.62731433	1357207.71620515	1626933.67675383	1489766.88198291	1774083.34590082	2061992.03951835	1518529.91089495	2393061.04565135	806357.127682264	800201.656615177	649613.353186569	1285221.49656259	1720928.98510073	1572378.87305018	1401352.94310344	1294546.90668331	1676931.37233065	1925239.28774164	1622606.99520491	2335956.59627834	2220834.87670935	902140.290808525	664938.670772811	772809.121626501	909153.548374131	804638.769101216	1014091.99260945
"Tb927.10.14140:mRNA-p1"	40556988.0062964	29652348.2584462	30937574.1116899	38668377.8198597	38111008.3152716	36148331.544568	42419637.4386926	1556153396.47622	1519665021.66748	1825651256.53773	1663361855.7387	1574622707.8227	1883005282.40963	1528623550.18347	39849443.1490236	34148344.1363393	53104041.2159673	51035295.8368548	1497036312.72801	1494324194.34179	1541081607.93255	1581570594.99582	2104864796.44702	1852169982.55203	45485796.1190783	1505208887.38844	1562594022.55327	2081488118.10476	2055249221.28196	2445271963.32751	2275370470.4965	2518455111.10145	2103708006.16113
"Tb927.11.14170:mRNA-p1"	1044265.65570399	1018467.20944954	939773.950329766	646677.601264145	618758.418986232	668514.640518641	582976.194305841	3869657.23577492	3585207.73960447	3532549.93517787	3824502.65452502	3660195.69796097	3660270.75988978	3460071.77035416	1436085.56881122	1492577.40251865	1341383.49887457	660263.344863111	3817073.51499172	3762026.50844128	3720560.28491623	3538161.52944956	3162183.32048422	2936220.61445499	716543.684724064	3418124.06761879	3542946.82417237	3045773.81370615	3059413.49060724	2478125.08149327	3081078.08201222	2865823.81659328	2717119.4532009
"Tb927.1.3050:mRNA-p1"	1454894.53776317	1402752.45693443	1515242.36997105	1750994.96376858	1741563.10157261	1555734.93156714	1871642.56850528	4636006.29986373	4217207.23159988	4533598.91572074	4637384.21314339	4518527.31578954	4141771.66449061	4050091.79804412	1707198.16059128	1520527.27823785	1565554.382453	1772212.06973789	4320866.89597816	4733641.58739745	4708968.62955613	4423295.72942876	4282150.91923861	4263544.74326774	1800662.08094694	4495738.72638872	4250196.16168392	4502046.7113469	4316812.21451471	3838028.43856481	3768552.57971897	3940121.8045667	4430693.61099817
"Tb927.10.10030:mRNA-p1"	1351045.40665039	1142625.18882297	1186974.4237831	1249154.201196	1076389.40459336	1152622.49359671	822106.403931679	13594243.870685	5134796.31746824	7351694.63032456	7432569.07445159	11608746.6979584	12079729.0165384	20606539.9984101	1260051.11995104	1359421.22401387	1266601.514933	1075689.43976126	6090460.13176598	5962629.0606528	6162730.42997646	4017275.27033036	35252180.3374706	28897566.0938949	1314817.60787446	17877372.9918524	14464832.8500608	12121668.7695391	14076811.975795	17947042.6994994	17835177.4350731	17371663.9083641	13794443.4573993
"Tb927.7.3770:mRNA-p1"	1150221.85713962	1043323.29743828	1175186.71967492	506501.754763451	691021.90466506	642949.38408546	547795.10964335	8623927.17391315	8856996.77773818	8942347.05643512	11940122.2090618	11519099.4979147	11885514.8509434	9943884.72228915	1778432.09959017	1374244.76292772	1664376.06804914	688109.430820897	8648221.05939366	8541368.54219368	7852059.73951859	8766982.4685001	9353797.81735146	9662534.18159075	581202.353923822	11010033.9840793	10777922.9612359	11527341.1175115	12982592.708233	11163142.773918	11658378.7182399	11419085.1109709	12901268.3839994
"Tb927.7.4410:mRNA-p1"	6709021.32096171	6874161.14940122	7095568.24597801	6903194.07867521	7303978.01318663	6594460.92416829	7352142.79773172	2749279.6682619	2862778.79753758	2985494.04418251	NA	NA	NA	NA	8252185.9731337	7919125.5391374	8390915.89589858	7590564.55775223	2697633.45575777	2748361.90892061	2719373.03031013	2800202.74963789	2888802.71152722	3171584.17975412	7518196.82292294	NA	NA	NA	NA	NA	NA	NA	NA
"Tb927.4.1850:mRNA-p1"	8785628.95513686	8606112.78873946	8423188.23231349	11930107.2052573	11705396.4871929	11117294.2655155	8948588.52913031	28870652.4602606	27834434.438626	26697012.5627264	22790198.8345549	22885473.9806666	22205354.0701243	23061196.2869396	4865457.25324327	5132456.44742201	5273569.57585075	7803561.94802286	27935487.3398358	26985767.1987763	27710370.895236	27776557.0810747	26885065.8544973	26656952.2587278	8354961.72502167	23276073.6378301	22372896.4029489	23537737.0547057	21878914.7480817	24270840.4210395	25486482.9158989	24168303.0689529	22733848.6450192
